text,label,need_amb,source,is_synthetic
Small cooking oil burn,burns,0.0,(Synthetic),1.0
Sea snake bite while fishing - muscle paralysis developing,snake_bite,1.0,(Synthetic),1.0
"Diver surfaced too fast - unconscious, frothing at mouth",drowning,1.0,(Synthetic),1.0
Elderly man slumped in wheelchair - no pulse detected,cpr,1.0,https://www.heart.org,0.0
Child bitten while feeding a sick-looking stray dog,rabies,1,(Synthetic),1
Alzheimer's patient choking on food - confused and panicking,choking,1.0,(Synthetic),1.0
Man gasping after nearly drowning in deep end,drowning,1,(Synthetic),1
Scorpion sting - mild symptoms,scorpion_sting,0.0,(Synthetic),1.0
Swimmer disappeared beneath surface at beach,drowning,1,(Synthetic),1
Stubbed finger - painful but fine,fractures,0.0,https://www.nhs.uk,0.0
Slipped on stairs – arm gashed by railing,wounds,1,(Synthetic),1
Glass shard cut - bleeding controlled with pressure,wounds,0.0,https://www.redcross.org,0.0
Child bit into charging cable - tongue burns,electric_shock,1.0,(Synthetic),1.0
Pet cat scratch - superficial,rabies,0.0,(Synthetic),1.0
Elderly man choking on dentures - weak attempts to cough,choking,1.0,(Synthetic),1.0
Hangnail tear - minor bleeding,wounds,0.0,(Synthetic),1.0
Water in lungs - coughing,drowning,0.0,(Synthetic),1.0
Elderly man collapsed in park - bystanders doing CPR until EMS arrives,cpr,1.0,https://www.redcross.org,0.0
Pregnant woman fainted - bleeding from nose,fainting,1.0,(Synthetic),1.0
Choking on gum - panicking,choking,1.0,(Synthetic),1.0
Cardiac arrest in supermarket - bystander performing CPR,cpr,1.0,https://www.redcross.org,0.0
"Unresponsive newborn - turning blue, rescue breaths given",cpr,1.0,(Synthetic),1.0
Steam burn while cooking - reddened skin,burns,0.0,https://www.redcross.org,0.0
Multiple stings while walking in rocky terrain,scorpion_sting,1,(Synthetic),1
Gymnast landed badly - compound wrist fracture,fractures,1.0,(Synthetic),1.0
"Child found floating in pool - unresponsive, not breathing",drowning,1.0,(Synthetic),1.0
Minor shock from appliance - no visible injury,electric_shock,0.0,(Synthetic),1.0
Elderly woman choking on pudding - ineffective cough attempts,choking,1.0,https://www.agingcare.com,0.0
A man collapsed while jogging in the park. He wasn’t breathing and had no pulse. A passerby started CPR until paramedics arrived.,cpr,1.0,https://www.redcross.org/take-a-class/cpr,0.0
Pet bird pecked finger - no wound,rabies,0.0,(Synthetic),1.0
Sudden bite from dog showing signs of confusion,rabies,1,(Synthetic),1
Single honeybee sting - normal local swelling,bee_sting,0.0,(Synthetic),1.0
Stubbed toe - painful but normal range of motion,fractures,0.0,(Synthetic),1.0
Small steam burn on hand,burns,0.0,https://www.redcross.org,0.0
Scorpion sting while walking barefoot indoors,scorpion_sting,1,(Synthetic),1
Small cut from razor - bandaged,wounds,0.0,https://www.redcross.org,0.0
Grandmother choking on pill - can't make any sound,choking,1.0,(Synthetic),1.0
Touched hot pan briefly - minor redness,burns,0.0,(Synthetic),1.0
Child inhaled pool water - coughing but responsive,drowning,0.0,(Synthetic),1.0
Choking on nut - panicking,choking,1.0,(Synthetic),1.0
Mild allergic reaction to ant bite - localized swelling,bee_sting,0.0,https://www.aaaai.org,0.0
Splinter in finger - removed,wounds,0.0,https://www.redcross.org,0.0
Stubbed toe - hurts,fractures,0.0,https://www.nhs.uk,0.0
Hot tea spill - minor redness,burns,0.0,(Synthetic),1.0
Twisted ankle - mild sprain,fractures,0.0,(Synthetic),1.0
Choking on popcorn - distressed,choking,1.0,(Synthetic),1.0
Barbed wire tore skin while climbing fence,wounds,1,(Synthetic),1
Drowning victim pulled from lake - CPR ongoing,cpr,1.0,https://www.redcross.org,0.0
Scorpion sting while working in basement,scorpion_sting,1,(Synthetic),1
"Construction worker unconscious - no pulse, CPR started",cpr,1.0,https://www.osha.gov,0.0
Minor water inhalation,drowning,0.0,(Synthetic),1.0
"Fell from ladder - deformed femur, bone visible",fractures,1.0,https://www.nhs.uk,0.0
Small scorpion - mild sting reaction,scorpion_sting,0.0,(Synthetic),1.0
Face swollen after unexpected sting during jog,bee_sting,1,(Synthetic),1
Bee flew into car and stung driver on leg,bee_sting,1,(Synthetic),1
Small electric burn from outlet - minor skin damage,electric_shock,0.0,(Synthetic),1.0
Fainted after vaccine - recovered,fainting,0.0,https://www.who.int,0.0
Massive allergic reaction to bee sting - throat closing,bee_sting,1.0,(Synthetic),1.0
Bat found in bedroom - small bite mark on arm,rabies,1.0,(Synthetic),1.0
Industrial capacitor discharge - cardiac arrhythmia present,electric_shock,1.0,(Synthetic),1.0
Possible sprained wrist - swelling,fractures,0.0,https://www.nhs.uk,0.0
"Non-venomous snake bite - small marks, no swelling",snake_bite,0.0,(Synthetic),1.0
Pet hamster nibble - no broken skin,rabies,0.0,(Synthetic),1.0
Industrial blade injury - severed finger,wounds,1.0,(Synthetic),1.0
Brief steam exposure - mild redness,burns,0.0,(Synthetic),1.0
Garter snake - okay,snake_bite,0.0,(Synthetic),1.0
Molten metal splash - full thickness burns,burns,1.0,(Synthetic),1.0
Grease splashed from frying pan – hand blistered,burns,0,(Synthetic),1
Snake bite with blurred vision and nausea - suspected neurotoxin,snake_bite,1.0,(Synthetic),1.0
Chemical burn from acid - skin peeling off in sheets,burns,1.0,(Synthetic),1.0
Firecracker backfired in hand – skin peeling,burns,1,(Synthetic),1
Possible sprained wrist,fractures,0.0,https://www.nhs.uk,0.0
Stung on lip while drinking from soda can outdoors,bee_sting,1,(Synthetic),1
Baby choking on teething biscuit - silent crying with blue lips,choking,1.0,https://www.redcross.org,0.0
Person bitten while rescuing shivering stray dog,rabies,1,(Synthetic),1
Child went under in backyard pool,drowning,1,(Synthetic),1
Garden snake bite - harmless,snake_bite,0.0,(Synthetic),1.0
Inhaled small amount of pool water,drowning,0.0,(Synthetic),1.0
Elderly collapsed - gasping for air,cpr,1.0,(Synthetic),1.0
Gash on forehead from falling branch,wounds,1,(Synthetic),1
Teen shocked by phone charger - small burn,electric_shock,0.0,(Synthetic),1.0
Child licked battery terminals - tongue burns,electric_shock,1.0,(Synthetic),1.0
Bee sting in mouth - tongue swelling rapidly,bee_sting,1.0,(Synthetic),1.0
A man touched exposed wiring and screamed in pain. His muscles contracted and he collapsed. CPR was initiated.,electric_shock,1.0,https://www.hse.gov.uk/electricity/injuries.htm,0.0
Toddler coughing weakly after swallowing button battery,choking,1.0,(Synthetic),1.0
"Africanized bee attack - 200+ stings, vomiting blood",bee_sting,1.0,(Synthetic),1.0
Rabbit scratch - minimal,rabies,0.0,(Synthetic),1.0
Child swallowed bath water - mild coughing,drowning,0.0,(Synthetic),1.0
Fox bite in woods - animal foaming,rabies,1.0,(Synthetic),1.0
Bitten while separating fighting dogs on street,rabies,1,(Synthetic),1
Minor electric shock from outlet - small burn on fingers,electric_shock,0.0,(Synthetic),1.0
Paper cut - minor bleeding stopped,wounds,0.0,https://www.redcross.org,0.0
Snake bite during walk at dusk – bleeding and swelling,snake_bite,1,(Synthetic),1
Infant not breathing after choking incident - mother performing rescue breaths,cpr,1.0,https://www.redcross.org,0.0
Chemical burn from cleaning product – fingers tingling,burns,1,(Synthetic),1
Pet guinea pig nibbled finger,rabies,0.0,(Synthetic),1.0
"ELECTRICIAN SHOCKED BY LIVE WIRE - THROWN BACK 5 FEET, UNRESPONSIVE!",electric_shock,1.0,(Synthetic),1.0
Teenager shocked by damaged appliance - unconscious for 30 seconds,electric_shock,1.0,(Synthetic),1.0
A woman stood up quickly and collapsed. She woke up after 10 seconds feeling dizzy.,fainting,0.0,https://www.nhs.uk/conditions/fainting/,0.0
Child licked 9V battery - burns to tongue,electric_shock,0.0,(Synthetic),1.0
Toddler choking on grape - silent crying with blue lips,choking,1.0,https://www.healthychildren.org,0.0
Swelling and pain after snake bite behind knee,snake_bite,1,(Synthetic),1
Lightning strike victim - irregular burn patterns on chest,electric_shock,1.0,(Synthetic),1.0
Attacked by growling dog with foaming mouth,rabies,1,(Synthetic),1
Elderly man fainted while standing - possible head injury from fall,fainting,1.0,(Synthetic),1.0
Pet rabbit scratch - no risk,rabies,0.0,(Synthetic),1.0
Fox bite in rural area - animal behaving strangely,rabies,1.0,(Synthetic),1.0
Non-venomous snake bite - small marks,snake_bite,0.0,(Synthetic),1.0
Brief contact with hot water,burns,0.0,(Synthetic),1.0
Teen fainted during sports game - now alert,fainting,0.0,https://www.who.int,0.0
Desert camper stung - uncontrolled eye movements,scorpion_sting,1.0,https://www.nps.gov,0.0
OLD MAN SLIPPED – I think his hip is broken!!!,fractures,1,(Synthetic),1
Stung on hand by small black scorpion near trash pile,scorpion_sting,1,(Synthetic),1
Newborn not breathing after difficult delivery,cpr,1.0,https://www.redcross.org,0.0
Water snake bite - no envenomation,snake_bite,0.0,(Synthetic),1.0
fell and now he can't MOVE his shoulder,fractures,1,(Synthetic),1
Felt sharp sting while sitting on log – found scorpion beneath,scorpion_sting,1,(Synthetic),1
Choking on popcorn - can't breathe,choking,1.0,(Synthetic),1.0
Infant choking on small toy - weak cough and pale skin,choking,1.0,https://www.redcross.org,0.0
Single wasp sting - minor swelling,bee_sting,0.0,(Synthetic),1.0
Snake bite on hand while cleaning storage shed,snake_bite,1,(Synthetic),1
Scorpion sting - mild and brief,scorpion_sting,0.0,(Synthetic),1.0
"Man collapsed at gym - no pulse, CPR in progress",cpr,1.0,https://www.redcross.org,0.0
Possible hairline fracture - minimal swelling,fractures,0.0,(Synthetic),1.0
Special needs child choking on small toy part,choking,1.0,(Synthetic),1.0
Brief underwater - okay,drowning,0.0,(Synthetic),1.0
Car crash victim - bone protruding from leg,fractures,1.0,(Synthetic),1.0
Hiker collapsed after desert trek - scorpion found in boot,scorpion_sting,1.0,https://www.cdc.gov,0.0
Fell on wrist - no deformity,fractures,0.0,(Synthetic),1.0
Fainted after shot - now alert,fainting,0.0,https://www.who.int,0.0
Unknown bite source after sleeping in open camp,rabies,1,(Synthetic),1
"Unresponsive newborn - turning blue, mother performing rescue breaths",cpr,1.0,https://www.redcross.org,0.0
Twisted knee after fall - swelling but can bear weight,fractures,0.0,https://www.nhs.uk,0.0
Brief sun exposure - mild pink skin,burns,0.0,(Synthetic),1.0
Twisted ankle - painful but can walk,fractures,0.0,https://www.nhs.uk,0.0
Deep cut from broken mirror - bleeding heavily,wounds,1.0,https://www.redcross.org,0.0
Single honeybee sting - normal swelling,bee_sting,0.0,(Synthetic),1.0
Non-venomous rat snake bite in garden - minor puncture,snake_bite,0.0,https://www.nationalgeographic.com,0.0
Scorpion sting with numbness in arm,scorpion_sting,1.0,(Synthetic),1.0
Stubbed toe - momentary pain,fractures,0.0,(Synthetic),1.0
Small scorpion sting - mild pain,scorpion_sting,0.0,(Synthetic),1.0
Mild sunburn after outdoor festival,burns,0.0,(Synthetic),1.0
Scorpion sting on neck - difficulty swallowing,scorpion_sting,1.0,(Synthetic),1.0
Man pulled out unconscious from river,drowning,1,(Synthetic),1
Blood donor fainted post-donation - recovered with juice,fainting,0.0,(Synthetic),1.0
Static shock from office equipment - no injury,electric_shock,0.0,(Synthetic),1.0
"Scorpion sting - mild pain, ice helping",scorpion_sting,0.0,(Synthetic),1.0
Choking on piece of meat - unable to speak or cough,choking,1.0,(Synthetic),1.0
STUMBLED WHILE RUNNING – I heard a SNAP,fractures,1,(Synthetic),1
Vaccinated pet dog scratch - minimal skin break,rabies,0.0,https://www.cdc.gov,0.0
Bleeding from elbow after skateboarding accident,wounds,0,(Synthetic),1
Scorpion sting on hand - numbness,scorpion_sting,1.0,(Synthetic),1.0
Brief sun exposure - no burn,burns,0.0,(Synthetic),1.0
Elderly woman fainted in store - conscious but confused,fainting,0.0,https://www.nhs.uk,0.0
Collapse - CPR initiated,cpr,1.0,https://www.redcross.org,0.0
Garter snake bite - no symptoms present,snake_bite,0.0,https://www.cdc.gov,0.0
Deep cut from kitchen knife - bleeding controlled with pressure,wounds,1.0,https://www.who.int,0.0
Felt sudden sting under shoe – saw small scorpion crawl away,scorpion_sting,1,(Synthetic),1
Teen girl fainted after blood draw - woke up dizzy but oriented,fainting,0.0,https://www.nhs.uk,0.0
Twisted knee - swollen but mobile,fractures,0.0,https://www.nhs.uk,0.0
Worker fainted from heat stroke - core temperature 105°F,fainting,1.0,(Synthetic),1.0
I THINK HIS ARM IS BROKEN!!! Please help!,fractures,1,(Synthetic),1
Unresponsive patient - EMS performing CPR,cpr,1.0,https://www.redcross.org,0.0
Bat bite - didn't see animal,rabies,1.0,(Synthetic),1.0
Swimmer inhaled water - coughing but okay,drowning,0.0,(Synthetic),1.0
Child submerged in bathtub - pulled out unconscious,drowning,1.0,(Synthetic),1.0
Special needs adult choking on toy part - weak cough,choking,1.0,https://www.autismspeaks.org,0.0
She SCREAMED after falling – arm looks messed up,fractures,1,(Synthetic),1
Bitten on arm while reaching into kayak,snake_bite,1,(Synthetic),1
Static shock from doorknob - no injury,electric_shock,0.0,(Synthetic),1.0
Teenager passed out after extreme heat exposure - skin hot and dry,fainting,1.0,(Synthetic),1.0
Minor static shock - no injury,electric_shock,0.0,(Synthetic),1.0
Sunlamp overexposure – skin blistering next day,burns,0,(Synthetic),1
Water up nose while swimming - temporary discomfort,drowning,0.0,https://www.swimming.org,0.0
Bitten by a wild raccoon while hiking in the woods,rabies,1,(Synthetic),1
Unresponsive patient in nursing home - staff initiating CPR,cpr,1.0,https://www.redcross.org,0.0
Wood splinter embedded deep under skin – bleeding,wounds,0,(Synthetic),1
Bee sting inside mouth - tongue swelling rapidly,bee_sting,1.0,(Synthetic),1.0
Infected bite from feral cat acting strangely,rabies,1,(Synthetic),1
Skateboarder fell - open fracture of radius visible,fractures,1.0,(Synthetic),1.0
Woman pulled from pool – unconscious and not breathing,drowning,1,(Synthetic),1
Contact burn from metal slide under hot sun,burns,0,(Synthetic),1
"Multiple bee stings - known allergy, using EpiPen",bee_sting,1.0,https://www.cdc.gov,0.0
Construction worker unconscious after fall - no pulse detected,cpr,1.0,https://www.osha.gov,0.0
Single wasp sting - normal local reaction,bee_sting,0.0,(Synthetic),1.0
Scorpion sting on foot - sharp pain radiating up leg,scorpion_sting,1.0,(Synthetic),1.0
Sudden bite on leg while gardening – snake seen fleeing,snake_bite,1,(Synthetic),1
Newborn not breathing after home birth - midwife performing rescue breaths,cpr,1.0,https://www.redcross.org,0.0
Fireplace ember landed on foot – burning pain,burns,1,(Synthetic),1
Fainted after vaccine - now alert,fainting,0.0,https://www.who.int,0.0
Sunburn on shoulders - painful,burns,0.0,https://www.redcross.org,0.0
Black mamba bite - paralysis spreading rapidly,snake_bite,1.0,(Synthetic),1.0
Accidental electric burn while changing wires,burns,1,(Synthetic),1
Child swallowed pool water - coughing but alert,drowning,0.0,https://www.redcross.org,0.0
Static shock from carpet - no visible injury,electric_shock,0.0,https://www.nhs.uk,0.0
Choking on gummy candy - can't cough or speak,choking,1.0,(Synthetic),1.0
Tiny cut from paper edge,wounds,0.0,(Synthetic),1.0
"Worker collapsed on construction site - no pulse, skin turning gray",cpr,1.0,(Synthetic),1.0
BOATER THROWN OVERBOARD - PULLED OUT UNRESPONSIVE AND NOT BREATHING!,drowning,1.0,https://www.uscgboating.org,0.0
"While camping, scorpion crawled into sleeping bag and stung back",scorpion_sting,1,(Synthetic),1
Sudden sting on foot while walking barefoot in grass,bee_sting,0,(Synthetic),1
Minor static shock - startled,electric_shock,0.0,(Synthetic),1.0
Child bitten on hand while reaching into bush,snake_bite,1,(Synthetic),1
Construction worker in cardiac arrest - coworkers performing CPR with AED,cpr,1.0,(Synthetic),1.0
Bird peck - nothing,rabies,0.0,(Synthetic),1.0
Scorpion crawled into laundry and stung chest,scorpion_sting,1,(Synthetic),1
Stung while lifting a rock in desert area,scorpion_sting,1,(Synthetic),1
Scraped arm on rough wall – skin torn,wounds,0,(Synthetic),1
Bat flew into face at night - scratch near eye,rabies,1.0,(Synthetic),1.0
"Elderly man choking on dentures - blue lips, weak pulse",choking,1.0,(Synthetic),1.0
Snake hiding under chair bit thigh,snake_bite,1,(Synthetic),1
Child swallowed pool water - mild coughing,drowning,0.0,(Synthetic),1.0
Multiple hornet stings - throat swelling shut,bee_sting,1.0,(Synthetic),1.0
Toddler bit through phone charger - burns on tongue,electric_shock,1.0,(Synthetic),1.0
Choking on piece of apple - coughing forcefully but still breathing,choking,0.0,(Synthetic),1.0
Garter snake bite in garden - no reaction,snake_bite,0.0,(Synthetic),1.0
"A man passed out in a crowded subway. On recovery, he was pale and dizzy. Passengers kept him lying down until help arrived.",fainting,0.0,https://www.nhs.uk/conditions/fainting/,0.0
Bee crawled into shoe – sting on ankle,bee_sting,1,(Synthetic),1
Bee sting inside throat - difficulty swallowing,bee_sting,1.0,(Synthetic),1.0
Electric shock from exposed wires - minor hand burns,electric_shock,1.0,(Synthetic),1.0
Heavy door slammed into foot – toes bruised and stiff,fractures,0,(Synthetic),1
Dog with no vaccination bit a child on the leg while playing outside,rabies,1,(Synthetic),1
Bat found in bedroom - small bite on child's toe,rabies,1.0,https://www.batcon.org,0.0
Window washer fell from ladder - unconscious with irregular breathing,cpr,1.0,(Synthetic),1.0
Swelling and redness after sting on finger,bee_sting,0,(Synthetic),1
"climbed fence – fell badly, elbow swollen!",fractures,1,(Synthetic),1
Lightning strike victim - burn patterns on chest,electric_shock,1.0,(Synthetic),1.0
Bee got trapped in hair and stung scalp,bee_sting,1,(Synthetic),1
Toddler bit charging cable - tongue swollen,electric_shock,1.0,(Synthetic),1.0
Fainted after seeing blood - now normal,fainting,0.0,https://www.who.int,0.0
Man in cardiac arrest - AED being applied,cpr,1.0,https://www.redcross.org,0.0
"Man collapsed during marathon - no pulse, bystanders starting chest compressions",cpr,1.0,(Synthetic),1.0
Child swallowed pool water - coughing but alert,drowning,0.0,(Synthetic),1.0
Swimmer inhaled water - coughing but oxygenating well,drowning,0.0,(Synthetic),1.0
Small static shock from metal railing,electric_shock,0.0,(Synthetic),1.0
Swimmer coughed up water after brief submersion,drowning,0.0,(Synthetic),1.0
A man collapsed on the subway platform. He had no pulse and wasn’t breathing. CPR was started by a bystander while others called emergency services.,cpr,1.0,https://www.nhs.uk/conditions/first-aid/cpr/,0.0
Painful sting while hiking – couldn’t walk properly,scorpion_sting,1,(Synthetic),1
Pet snake bite - minimal break in skin,snake_bite,0.0,(Synthetic),1.0
Non-venomous snake bite - no symptoms,snake_bite,0.0,(Synthetic),1.0
Splinter in finger - minor,wounds,0.0,https://www.redcross.org,0.0
Christmas lights shock - minor tingling in fingers,electric_shock,0.0,(Synthetic),1.0
Stung on stomach while lying in grass,bee_sting,0,(Synthetic),1
Single wasp sting - normal reaction,bee_sting,0.0,https://www.cdc.gov,0.0
Dropped glass bottle cut foot badly,wounds,1,(Synthetic),1
Sunburn after beach day - red shoulders painful to touch,burns,0.0,(Synthetic),1.0
Fox attacked while camping – deep bite on the calf,rabies,1,(Synthetic),1
Small electric shock - no burns,electric_shock,0.0,(Synthetic),1.0
Elderly collapse - CPR started,cpr,1.0,https://www.redcross.org,0.0
Child swallowed pool water - coughing but fine,drowning,0.0,(Synthetic),1.0
Fainted after blood work - fine now,fainting,0.0,https://www.who.int,0.0
Wasp sting - local reaction,bee_sting,0.0,https://www.cdc.gov,0.0
Bee sting - mild reaction,bee_sting,0.0,(Synthetic),1.0
Snake bite near wrist while climbing rocks,snake_bite,1,(Synthetic),1
Construction worker stung 20+ times - confused and dizzy,bee_sting,1.0,https://www.redcross.org,0.0
Hit head on sharp edge of table – bleeding heavily,wounds,1,(Synthetic),1
Driver found unresponsive in car after accident - bystander doing CPR,cpr,1.0,(Synthetic),1.0
A man fainted in church and fell backwards. He regained consciousness within a minute.,fainting,0.0,https://www.nhs.uk/conditions/fainting/,0.0
Accidental contact with car radiator – instant burn,burns,1,(Synthetic),1
Swimmer cardiac arrest in pool - pulled out limp,cpr,1.0,(Synthetic),1.0
Chainsaw accident - deep thigh wound with arterial bleeding,wounds,1.0,(Synthetic),1.0
Woke up with sting on arm – scorpion found on bed,scorpion_sting,1,(Synthetic),1
Single bee sting - normal response,bee_sting,0.0,(Synthetic),1.0
A toddler started choking on a grape and could not breathe. The babysitter performed back blows and called 911.,choking,1.0,https://www.redcross.org/take-a-class/first-aid/first-aid-classes/choking,0.0
Hair dryer fell in bathtub - minor burns on chest,electric_shock,1.0,(Synthetic),1.0
Bumblebee sting - mild redness,bee_sting,0.0,(Synthetic),1.0
Steam - red,burns,0.0,https://www.redcross.org,0.0
Superficial scratch from vaccinated house cat,rabies,0.0,(Synthetic),1.0
Beekeeper sting - mild localized redness,bee_sting,0.0,(Synthetic),1.0
Splinter - out,wounds,0.0,https://www.redcross.org,0.0
SKATEBOARDER CRASH - OPEN COMPOUND FRACTURE WITH BONE PROTRUDING!,fractures,1.0,(Synthetic),1.0
"Teen with known allergy stung by bee - lips swelling, difficulty breathing",bee_sting,1.0,https://www.cdc.gov,0.0
"Pet python bite - shallow marks, no swelling",snake_bite,0.0,(Synthetic),1.0
Scorpion sting during bathroom visit at night,scorpion_sting,1,(Synthetic),1
Steam burn on finger - red,burns,0.0,https://www.redcross.org,0.0
Choking on ice cube - can't clear airway,choking,1.0,(Synthetic),1.0
Stepped on bee while leaving pool barefoot,bee_sting,0,(Synthetic),1
Hot grease burn on arm - second degree burns,burns,1.0,https://www.redcross.org,0.0
Exploding aerosol can caused leg burns,burns,1,(Synthetic),1
Sharp pain and two marks after bite while camping,snake_bite,1,(Synthetic),1
Static shock - no harm,electric_shock,0.0,(Synthetic),1.0
Child found floating in pool - unresponsive and not breathing,drowning,1.0,https://www.who.int,0.0
Surfer rescued from riptide - alert with mild hypoxia,drowning,0.0,https://www.redcross.org,0.0
Burned by candle wax while lighting incense,burns,0,(Synthetic),1
Bruised knee after fall,fractures,0.0,(Synthetic),1.0
Swimmer pulled from pool - no breathing or pulse,cpr,1.0,(Synthetic),1.0
Bitten by a monkey at a roadside temple – bleeding wound,rabies,1,(Synthetic),1
Mild scorpion sting - ice helping pain,scorpion_sting,0.0,(Synthetic),1.0
Bitten on ankle by skunk near garbage bins,rabies,1,(Synthetic),1
Broken glass injury - deep cut on forearm,wounds,1.0,(Synthetic),1.0
Water in nose from splash,drowning,0.0,(Synthetic),1.0
Cardiac arrest during marathon - CPR in progress,cpr,1.0,https://www.redcross.org,0.0
Superficial cat scratch - barely broke skin,rabies,0.0,https://www.humanesociety.org,0.0
Hot oil burn on face - blisters,burns,1.0,https://www.redcross.org,0.0
Single wasp sting - local redness only,bee_sting,0.0,https://www.cdc.gov,0.0
Accidentally slashed finger with kitchen knife,wounds,1,(Synthetic),1
Scratch from stray cat acting erratically,rabies,1,(Synthetic),1
Rescued from lake – coughing water and semi-conscious,drowning,1,(Synthetic),1
Near-drowning in bathtub - alert after coughing,drowning,1.0,https://www.safekids.org,0.0
Elderly man fainted in church - awake but confused,fainting,0.0,https://www.nhs.uk,0.0
Bitten by small snake near garbage pile,snake_bite,1,(Synthetic),1
Single bee sting - normal,bee_sting,0.0,https://www.cdc.gov,0.0
Patient coded during dialysis - medical team performing advanced resuscitation,cpr,1.0,(Synthetic),1.0
Spilled boiling water on thigh while making tea,burns,1,(Synthetic),1
Stung on hand while picking fruit in garden,bee_sting,0,(Synthetic),1
Woman passed out in heat - body very hot,fainting,1.0,(Synthetic),1.0
Elderly woman fainted while shopping - conscious but confused,fainting,0.0,https://www.nhs.uk,0.0
Child bit into charging cable - small burn on tongue,electric_shock,0.0,(Synthetic),1.0
Hot oil burn - second degree on arm,burns,1.0,https://www.redcross.org,0.0
Fell from tree - leg deformed at odd angle,fractures,1.0,https://www.nhs.uk,0.0
Foaming dog bit child near marketplace,rabies,1,(Synthetic),1
Scorpion sting with localized pain only,scorpion_sting,0.0,(Synthetic),1.0
Pet bird landed on shoulder,rabies,0.0,(Synthetic),1.0
Elderly hip fracture after minor fall - unable to bear weight,fractures,1.0,https://www.nhs.uk,0.0
Garter snake bite - no symptoms,snake_bite,0.0,(Synthetic),1.0
Kitchen knife slip - deep finger cut,wounds,1.0,(Synthetic),1.0
Sunburn after full day at beach without sunscreen,burns,0,(Synthetic),1
Pet cat scratch - superficial wound,rabies,0.0,(Synthetic),1.0
Copperhead bite while gardening - swelling,snake_bite,1.0,(Synthetic),1.0
A worker touched a faulty exposed wire and collapsed after a visible jolt. Coworkers turned off power and called EMS.,electric_shock,1.0,https://www.nhs.uk/conditions/electric-shock/,0.0
Static shock from carpet,electric_shock,0.0,(Synthetic),1.0
Unknown animal bite during night walk in rural area,rabies,1,(Synthetic),1
Water cough - mild,drowning,0.0,(Synthetic),1.0
Fainted in heat - recovered,fainting,0.0,https://www.who.int,0.0
"Construction worker fell from scaffold - unconscious, irregular breathing",cpr,1.0,(Synthetic),1.0
Bee sting on eyelid - eye swelling shut,bee_sting,1.0,https://www.cdc.gov,0.0
Single wasp sting - normal localized reaction,bee_sting,0.0,(Synthetic),1.0
Mild scorpion sting - pain localized to area,scorpion_sting,0.0,https://www.cdc.gov,0.0
Honeybee sting - normal reaction,bee_sting,0.0,https://www.cdc.gov,0.0
Water in nose while swimming,drowning,0.0,(Synthetic),1.0
Raccoon bite at campsite - animal foaming at mouth,rabies,1.0,(Synthetic),1.0
Touched old battery terminals,electric_shock,0.0,(Synthetic),1.0
Electric shock from power line - burns on chest,electric_shock,1.0,(Synthetic),1.0
