text,label
"During lunch, John felt dizzy and then suddenly passed out.",Fainting
John had foaming at the mouth and erratic behavior. in the pool.,Rabies
They cleaned the wound and applied a dressing. on the street.,Wounds
"In the evening, the victim burned their hand on a hot stove.",Burns
"Without warning, He had blisters after touching the boiling water. at home.",Burns
He panicked as the victim gasped for air.,Choking
"Without warning, the victim's wrist was immobilized with a splint.",Fractures
"During lunch, The device malfunctioned and gave she an unexpected shock.",Electric Shock
"Feeling faint, he had a brief loss of consciousness.",Fainting
"Without warning, she washed the spot where the bee stung.",Bee Sting
Emily felt a sharp pain and saw redness where the bee stung. at work.,Bee Sting
"Suddenly, While swimming, Emily inhaled water and began to choke.",Drowning
"Early morning, a bystander fell and broke the arm.",Fractures
The device malfunctioned and gave the patient an unexpected shock.,Electric Shock
she struggled in the water until they were pulled out.,Drowning
They cooled the burn under running water. at home.,Burns
a bystander felt a sharp pain and saw redness where the bee stung.,Bee Sting
"Early morning, He was stung by a bee and the area swelled up. on the street.",Bee Sting
"Emily fell silent, clutching the neck.",Choking
"Early morning, Someone applied abdominal thrusts when the victim couldn't cough.",Choking
"During lunch, She had a deep wound on the leg.",Wounds
"During lunch, she burned their hand on a hot stove. on the street.",Burns
"Without warning, She had itching and redness after the sting. in the park.",Bee Sting
"In the evening, John was thrown back by the electrical current. at work.",Electric Shock
"Early morning, Allergic, a bystander needed medical help after the bee sting.",Bee Sting
She cleaned the bite and immobilized her leg. in the park.,Snake Bite
"A month after the bite, John showed symptoms of rabies.",Rabies
"Early morning, He was bitten by a snake while hiking.",Snake Bite
"Suddenly, He was stung by a bee and the area swelled up.",Bee Sting
"Early morning, the victim received the rabies vaccine after the dog attack.",Rabies
"During dinner, he started choking on food.",Choking
X-ray confirmed a fracture in a bystander's leg. in the pool.,Fractures
"After the shock, John had burns at the entry and exit points. at home.",Electric Shock
they felt dizziness after the snake bite. on the street.,Snake Bite
"While swimming, the victim inhaled water and began to choke. at home.",Drowning
"In the evening, They cleaned the wound and applied a dressing.",Wounds
"Suddenly, Someone applied abdominal thrusts when the patient couldn't cough.",Choking
"Early morning, He received an electric shock when fixing the outlet.",Electric Shock
"In the evening, a bystander struggled in the water until they were pulled out.",Drowning
"During lunch, he's wrist was immobilized with a splint. on the street.",Fractures
"In the evening, The device malfunctioned and gave Emily an unexpected shock.",Electric Shock
They cooled the burn under running water.,Burns
They cleaned the wound and applied a dressing.,Wounds
He had blisters after touching the boiling water.,Burns
Rescuers found he submerged and not breathing.,Drowning
the patient struggled in the water until they were pulled out.,Drowning
Sharp pain spread from the sting site.,Scorpion Sting
"Suddenly, She noticed the patient was unresponsive and began CPR.",CPR
"In the evening, John needed antivenom after the sting.",Scorpion Sting
"Without warning, he needed antivenom after the sting.",Scorpion Sting
"In the evening, Call 101 and give CPR to he without hesitation. in the pool.",CPR
She cleaned the bite and immobilized her leg. in the pool.,Snake Bite
They cleaned the wound and applied a dressing.,Wounds
He received an electric shock when fixing the outlet. at work.,Electric Shock
"During lunch, While swimming, he inhaled water and began to choke.",Drowning
the victim got black spots before fainting.,Fainting
"Without warning, A month after the bite, a bystander showed symptoms of rabies. on the street.",Rabies
"Suddenly, He stood up too quickly and the victim lost consciousness temporarily.",Fainting
"Suddenly, she fell and broke the arm.",Fractures
She noticed the patient was unresponsive and began CPR.,CPR
She cleaned the bite and immobilized her leg.,Snake Bite
Emily found two puncture marks and felt numbness.,Snake Bite
"Early morning, Sharp pain spread from the sting site.",Scorpion Sting
Rescuers found they submerged and not breathing. in the park.,Drowning
Emily burned their hand on a hot stove.,Burns
"Suddenly, While swimming, the victim inhaled water and began to choke. on the street.",Drowning
"Early morning, They cleaned the wound and applied a dressing.",Wounds
"Early morning, he fell silent, clutching the neck.",Choking
Sharp pain spread from the sting site.,Scorpion Sting
"Without warning, He panicked as John gasped for air.",Choking
"During lunch, A month after the bite, the victim showed symptoms of rabies. on the street.",Rabies
"In the evening, He described burning sensation after scorpion sting. in the park.",Scorpion Sting
"During lunch, She had itching and redness after the sting.",Bee Sting
they lost consciousness and needed chest compressions and rescue breaths.,CPR
"In the evening, Sharp pain spread from the sting site.",Scorpion Sting
"During lunch, During dinner, they started choking on food.",Choking
He stood up too quickly and Emily lost consciousness temporarily. at work.,Fainting
"Suddenly, She noticed they was unresponsive and began CPR.",CPR
"Early morning, A fall caused a large scratch on John's back.",Wounds
"During lunch, She had a deep wound on the leg.",Wounds
"Without warning, the victim struggled in the water until they were pulled out. in the park.",Drowning
He described burning sensation after scorpion sting. at work.,Scorpion Sting
"During lunch, John cut their arm with a sharp knife.",Wounds
He was stung by a bee and the area swelled up. in the pool.,Bee Sting
he cut their arm with a sharp knife.,Wounds
a bystander saw a scorpion and got stung on the hand.,Scorpion Sting
Rescuers found the victim submerged and not breathing.,Drowning
the victim felt dizziness after the snake bite.,Snake Bite
They rushed the victim to the hospital with snake venom symptoms. at work.,Snake Bite
"Early morning, She cleaned the bite and immobilized her leg. at home.",Snake Bite
the patient's wrist was immobilized with a splint.,Fractures
She couldn't move the broken bone. at home.,Fractures
She cleaned the bite and immobilized her leg.,Snake Bite
Someone applied abdominal thrusts when a bystander couldn't cough. in the pool.,Choking
"Without warning, John washed the area and sought immediate care. at home.",Scorpion Sting
"Suddenly, They cleaned the wound and applied a dressing.",Wounds
She was rescued from the lake after almost drowning. on the street.,Drowning
"In the evening, She had itching and redness after the sting.",Bee Sting
he struggled in the water until they were pulled out. at home.,Drowning
she felt a sharp pain and saw redness where the bee stung.,Bee Sting
Emily was bitten by a stray dog and started showing signs of rabies.,Rabies
She couldn't move the broken bone.,Fractures
"During lunch, they cut their arm with a sharp knife.",Wounds
they felt extreme pain and saw damaged skin.,Burns
the patient's skin was torn and bleeding.,Wounds
"During lunch, In shallow water, she lost consciousness and needed help.",Drowning
"In the evening, A month after the bite, the patient showed symptoms of rabies.",Rabies
She cleaned the bite and immobilized her leg.,Snake Bite
"In the evening, She noticed the victim was unresponsive and began CPR.",CPR
"Early morning, While swimming, Emily inhaled water and began to choke.",Drowning
"Early morning, Allergic, she needed medical help after the bee sting.",Bee Sting
Emily touched a live wire and felt a strong electric jolt. in the pool.,Electric Shock
"Suddenly, He stood up too quickly and a bystander lost consciousness temporarily. at home.",Fainting
"During lunch, They cooled the burn under running water. at home.",Burns
He was stung by a bee and the area swelled up. in the pool.,Bee Sting
A fall caused a large scratch on they's back.,Wounds
"During lunch, The device malfunctioned and gave the victim an unexpected shock.",Electric Shock
"During lunch, he needed antivenom after the sting.",Scorpion Sting
"Without warning, they was bitten by a stray dog and started showing signs of rabies. at work.",Rabies
Emily's wrist was immobilized with a splint.,Fractures
"During lunch, he washed the area and sought immediate care. at work.",Scorpion Sting
Emily touched a live wire and felt a strong electric jolt. in the park.,Electric Shock
"During dinner, they started choking on food.",Choking
he lost consciousness and needed chest compressions and rescue breaths. at work.,CPR
Sharp pain spread from the sting site.,Scorpion Sting
He stood up too quickly and the victim lost consciousness temporarily.,Fainting
they received the rabies vaccine after the dog attack.,Rabies
She had itching and redness after the sting. on the street.,Bee Sting
A fall caused a large scratch on John's back.,Wounds
"Without warning, She noticed the patient was unresponsive and began CPR. at work.",CPR
"Early morning, Emily felt dizzy and then suddenly passed out.",Fainting
a bystander felt dizziness after the snake bite. at work.,Snake Bite
"During lunch, After the shock, she had burns at the entry and exit points. at home.",Electric Shock
they was thrown back by the electrical current. at work.,Electric Shock
She saw the victim slump to the ground after becoming lightheaded. at home.,Fainting
"Early morning, He described burning sensation after scorpion sting.",Scorpion Sting
"During lunch, He had blisters after touching the boiling water.",Burns
She was rescued from the lake after almost drowning.,Drowning
"During lunch, the patient was bitten by a stray dog and started showing signs of rabies.",Rabies
"Without warning, they struggled in the water until they were pulled out.",Drowning
Emily fell and broke the arm. at work.,Fractures
"Without warning, Someone applied abdominal thrusts when they couldn't cough. in the pool.",Choking
"Without warning, He received an electric shock when fixing the outlet. in the park.",Electric Shock
She suffered a third-degree burn in the accident. at work.,Burns
"Allergic, they needed medical help after the bee sting.",Bee Sting
"In the evening, a bystander washed the spot where the bee stung.",Bee Sting
"In the evening, They rushed John to the hospital with snake venom symptoms.",Snake Bite
John was bitten by a stray dog and started showing signs of rabies. on the street.,Rabies
the victim was bitten by a stray dog and started showing signs of rabies.,Rabies
She had a deep wound on the leg.,Wounds
"In the evening, they grabbed their throat and couldn't breathe.",Choking
"After the dog bite, the patient developed high fever and aggression. in the park.",Rabies
she felt dizziness after the snake bite.,Snake Bite
"Without warning, He was stung by a bee and the area swelled up.",Bee Sting
"Suddenly, He described burning sensation after scorpion sting.",Scorpion Sting
"In shallow water, the patient lost consciousness and needed help.",Drowning
"Suddenly, they lost consciousness and needed chest compressions and rescue breaths.",CPR
Perform CPR immediately when she stopped breathing. in the pool.,CPR
"During lunch, While swimming, the victim inhaled water and began to choke. in the park.",Drowning
"In the evening, During dinner, John started choking on food.",Choking
"Without warning, she felt dizzy and then suddenly passed out.",Fainting
He had swelling and pain after the fall.,Fractures
"In the evening, John needed antivenom after the sting. in the pool.",Scorpion Sting
they lost consciousness and needed chest compressions and rescue breaths.,CPR
"Early morning, John washed the area and sought immediate care.",Scorpion Sting
"Allergic, they needed medical help after the bee sting. at work.",Bee Sting
"Early morning, a bystander felt extreme pain and saw damaged skin.",Burns
"Without warning, She had itching and redness after the sting.",Bee Sting
John saw a scorpion and got stung on the hand.,Scorpion Sting
She cleaned the bite and immobilized her leg.,Snake Bite
"Early morning, They cooled the burn under running water.",Burns
"Early morning, Someone applied abdominal thrusts when Emily couldn't cough.",Choking
"In the evening, she's wrist was immobilized with a splint.",Fractures
John grabbed their throat and couldn't breathe. in the park.,Choking
"Suddenly, He had swelling and pain after the fall. at home.",Fractures
"Suddenly, John got black spots before fainting.",Fainting
John felt dizziness after the snake bite.,Snake Bite
"Suddenly, He panicked as the patient gasped for air.",Choking
"Suddenly, He had blisters after touching the boiling water. on the street.",Burns
"In the evening, she saw a scorpion and got stung on the hand. at work.",Scorpion Sting
"Early morning, X-ray confirmed a fracture in she's leg.",Fractures
John needed antivenom after the sting. in the pool.,Scorpion Sting
"In the evening, She had a deep wound on the leg.",Wounds
"Suddenly, While swimming, Emily inhaled water and began to choke. at work.",Drowning
X-ray confirmed a fracture in he's leg.,Fractures
"In the evening, She had itching and redness after the sting.",Bee Sting
a bystander saw a scorpion and got stung on the hand.,Scorpion Sting
A fall caused a large scratch on they's back. at home.,Wounds
they lost consciousness and needed chest compressions and rescue breaths.,CPR
She noticed he was unresponsive and began CPR. in the park.,CPR
a bystander washed the area and sought immediate care.,Scorpion Sting
"Early morning, Emily struggled in the water until they were pulled out.",Drowning
"Without warning, John suddenly collapsed and pressed on his chest to restart the heart.",CPR
"Without warning, He panicked as John gasped for air. in the pool.",Choking
"Without warning, X-ray confirmed a fracture in John's leg.",Fractures
"In shallow water, he lost consciousness and needed help.",Drowning
He panicked as he gasped for air.,Choking
"Early morning, the patient felt dizziness after the snake bite. on the street.",Snake Bite
She suffered a third-degree burn in the accident. on the street.,Burns
he felt a sharp pain and saw redness where the bee stung.,Bee Sting
the patient's wrist was immobilized with a splint.,Fractures
"Early morning, the victim felt dizziness after the snake bite.",Snake Bite
she felt extreme pain and saw damaged skin.,Burns
a bystander received the rabies vaccine after the dog attack.,Rabies
"Early morning, she was bitten by a stray dog and started showing signs of rabies.",Rabies
She couldn't move the broken bone.,Fractures
"During lunch, she was bitten by a stray dog and started showing signs of rabies.",Rabies
She cleaned the bite and immobilized her leg.,Snake Bite
"Early morning, she struggled in the water until they were pulled out.",Drowning
"Early morning, A fall caused a large scratch on he's back. at home.",Wounds
he struggled in the water until they were pulled out.,Drowning
He panicked as the victim gasped for air.,Choking
"During lunch, Call 101 and give CPR to John without hesitation.",CPR
"Early morning, she suddenly collapsed and pressed on his chest to restart the heart. at work.",CPR
a bystander was thrown back by the electrical current. in the park.,Electric Shock
"During lunch, he felt extreme pain and saw damaged skin. at work.",Burns
"a bystander fell silent, clutching the neck.",Choking
He was bitten by a snake while hiking.,Snake Bite
"Suddenly, She was rescued from the lake after almost drowning. at home.",Drowning
He had blisters after touching the boiling water.,Burns
Perform CPR immediately when John stopped breathing.,CPR
X-ray confirmed a fracture in he's leg.,Fractures
"Early morning, the victim was thrown back by the electrical current.",Electric Shock
the patient washed the area and sought immediate care.,Scorpion Sting
"During lunch, she found two puncture marks and felt numbness.",Snake Bite
"Allergic, John needed medical help after the bee sting. on the street.",Bee Sting
"she fell silent, clutching the neck.",Choking
she felt dizziness after the snake bite. in the park.,Snake Bite
Emily received the rabies vaccine after the dog attack.,Rabies
the patient burned their hand on a hot stove. at work.,Burns
"Suddenly, The device malfunctioned and gave he an unexpected shock.",Electric Shock
"In the evening, She was rescued from the lake after almost drowning. on the street.",Drowning
"Suddenly, Rescuers found a bystander submerged and not breathing.",Drowning
John lost consciousness and needed chest compressions and rescue breaths.,CPR
He received an electric shock when fixing the outlet.,Electric Shock
he received the rabies vaccine after the dog attack.,Rabies
"Early morning, Perform CPR immediately when she stopped breathing.",CPR
He received an electric shock when fixing the outlet. at work.,Electric Shock
"During lunch, Emily got black spots before fainting.",Fainting
"During lunch, she felt dizziness after the snake bite.",Snake Bite
the patient lost consciousness and needed chest compressions and rescue breaths.,CPR
"During lunch, After the dog bite, the patient developed high fever and aggression.",Rabies
"Suddenly, While swimming, the victim inhaled water and began to choke.",Drowning
"In the evening, the patient felt dizzy and then suddenly passed out.",Fainting
They cleaned the wound and applied a dressing.,Wounds
"In the evening, They cooled the burn under running water.",Burns
"In the evening, Emily fell and broke the arm. at work.",Fractures
the patient lost consciousness and needed chest compressions and rescue breaths. at work.,CPR
"Without warning, John cut their arm with a sharp knife.",Wounds
"In the evening, They rushed a bystander to the hospital with snake venom symptoms.",Snake Bite
"Suddenly, They rushed Emily to the hospital with snake venom symptoms. at home.",Snake Bite
"Early morning, the patient was bitten by a stray dog and started showing signs of rabies. at home.",Rabies
"Suddenly, He had blisters after touching the boiling water.",Burns
he burned their hand on a hot stove.,Burns
"Suddenly, A month after the bite, the patient showed symptoms of rabies.",Rabies
the patient had foaming at the mouth and erratic behavior.,Rabies
"During dinner, a bystander started choking on food.",Choking
"Early morning, She suffered a third-degree burn in the accident.",Burns
"In the evening, they was thrown back by the electrical current.",Electric Shock
a bystander's skin was torn and bleeding.,Wounds
they was thrown back by the electrical current.,Electric Shock
He described burning sensation after scorpion sting.,Scorpion Sting
"During lunch, a bystander's wrist was immobilized with a splint.",Fractures
the victim received the rabies vaccine after the dog attack. at home.,Rabies
"Suddenly, a bystander washed the area and sought immediate care.",Scorpion Sting
"Early morning, They rushed John to the hospital with snake venom symptoms. in the pool.",Snake Bite
"Early morning, They cleaned the wound and applied a dressing.",Wounds
"Suddenly, she lost consciousness and needed chest compressions and rescue breaths. at work.",CPR
"Suddenly, Emily felt dizziness after the snake bite.",Snake Bite
She noticed John was unresponsive and began CPR.,CPR
"Early morning, Sharp pain spread from the sting site.",Scorpion Sting
He was stung by a bee and the area swelled up. in the pool.,Bee Sting
"During lunch, Emily was thrown back by the electrical current.",Electric Shock
"During lunch, She had a deep wound on the leg.",Wounds
Rescuers found John submerged and not breathing.,Drowning
"Early morning, a bystander fell silent, clutching the neck. on the street.",Choking
"Without warning, He had swelling and pain after the fall.",Fractures
"Early morning, The device malfunctioned and gave the victim an unexpected shock.",Electric Shock
Someone applied abdominal thrusts when the victim couldn't cough.,Choking
"Without warning, Allergic, John needed medical help after the bee sting.",Bee Sting
"A month after the bite, the victim showed symptoms of rabies.",Rabies
He panicked as the victim gasped for air.,Choking
Emily burned their hand on a hot stove.,Burns
"In the evening, Feeling faint, he had a brief loss of consciousness.",Fainting
He had blisters after touching the boiling water.,Burns
"the victim fell silent, clutching the neck.",Choking
"Feeling faint, a bystander had a brief loss of consciousness. at home.",Fainting
"After the shock, he had burns at the entry and exit points.",Electric Shock
She was rescued from the lake after almost drowning.,Drowning
"Suddenly, He was bitten by a snake while hiking.",Snake Bite
the patient felt a sharp pain and saw redness where the bee stung.,Bee Sting
he was bitten by a stray dog and started showing signs of rabies.,Rabies
"In the evening, the victim fell silent, clutching the neck.",Choking
He was bitten by a snake while hiking.,Snake Bite
"While swimming, he inhaled water and began to choke.",Drowning
"Suddenly, they fell silent, clutching the neck.",Choking
She had itching and redness after the sting.,Bee Sting
He received an electric shock when fixing the outlet.,Electric Shock
She had itching and redness after the sting. in the pool.,Bee Sting
"Early morning, the victim had foaming at the mouth and erratic behavior.",Rabies
"Early morning, Someone applied abdominal thrusts when she couldn't cough.",Choking
"During lunch, He stood up too quickly and John lost consciousness temporarily. on the street.",Fainting
"In the evening, they got black spots before fainting.",Fainting
X-ray confirmed a fracture in a bystander's leg.,Fractures
he found two puncture marks and felt numbness.,Snake Bite
the victim was bitten by a stray dog and started showing signs of rabies.,Rabies
Perform CPR immediately when John stopped breathing. at home.,CPR
They rushed she to the hospital with snake venom symptoms. at work.,Snake Bite
"Without warning, Emily saw a scorpion and got stung on the hand.",Scorpion Sting
She cleaned the bite and immobilized her leg.,Snake Bite
"Early morning, Call 101 and give CPR to he without hesitation.",CPR
"Without warning, Emily received the rabies vaccine after the dog attack.",Rabies
Emily felt dizzy and then suddenly passed out.,Fainting
"In the evening, Rescuers found the patient submerged and not breathing.",Drowning
He received an electric shock when fixing the outlet.,Electric Shock
"Early morning, Someone applied abdominal thrusts when the patient couldn't cough.",Choking
"Without warning, she was thrown back by the electrical current.",Electric Shock
"During lunch, The device malfunctioned and gave the victim an unexpected shock.",Electric Shock
"While swimming, a bystander inhaled water and began to choke.",Drowning
he cut their arm with a sharp knife.,Wounds
John lost consciousness and needed chest compressions and rescue breaths.,CPR
"During lunch, Emily fell silent, clutching the neck.",Choking
"Without warning, He had blisters after touching the boiling water.",Burns
the patient's skin was torn and bleeding. in the pool.,Wounds
She cleaned the bite and immobilized her leg.,Snake Bite
the patient cut their arm with a sharp knife.,Wounds
they washed the spot where the bee stung.,Bee Sting
Emily needed antivenom after the sting.,Scorpion Sting
the victim found two puncture marks and felt numbness.,Snake Bite
Emily felt a sharp pain and saw redness where the bee stung.,Bee Sting
John suddenly collapsed and pressed on his chest to restart the heart.,CPR
"Suddenly, Emily found two puncture marks and felt numbness.",Snake Bite
They rushed he to the hospital with snake venom symptoms. at work.,Snake Bite
"After the dog bite, they developed high fever and aggression.",Rabies
"In the evening, She suffered a third-degree burn in the accident. at home.",Burns
Emily burned their hand on a hot stove.,Burns
"Suddenly, she was thrown back by the electrical current. in the park.",Electric Shock
"During lunch, While swimming, John inhaled water and began to choke.",Drowning
"During lunch, A fall caused a large scratch on the patient's back. in the park.",Wounds
He had blisters after touching the boiling water.,Burns
Emily was thrown back by the electrical current.,Electric Shock
"In the evening, John was bitten by a stray dog and started showing signs of rabies.",Rabies
"Suddenly, While swimming, the patient inhaled water and began to choke.",Drowning
"In the evening, she touched a live wire and felt a strong electric jolt.",Electric Shock
"Suddenly, the patient struggled in the water until they were pulled out. at home.",Drowning
Sharp pain spread from the sting site.,Scorpion Sting
"Early morning, He panicked as he gasped for air. in the park.",Choking
He was bitten by a snake while hiking.,Snake Bite
The device malfunctioned and gave John an unexpected shock. on the street.,Electric Shock
"Early morning, a bystander fell and broke the arm. in the pool.",Fractures
he felt extreme pain and saw damaged skin.,Burns
He was bitten by a snake while hiking.,Snake Bite
"In the evening, they's skin was torn and bleeding.",Wounds
"Suddenly, he's wrist was immobilized with a splint.",Fractures
"In shallow water, John lost consciousness and needed help. at home.",Drowning
Emily felt dizziness after the snake bite.,Snake Bite
"After the dog bite, they developed high fever and aggression. on the street.",Rabies
"During lunch, Emily lost consciousness and needed chest compressions and rescue breaths. at home.",CPR
he suddenly collapsed and pressed on his chest to restart the heart. at work.,CPR
"During lunch, John had foaming at the mouth and erratic behavior. on the street.",Rabies
Perform CPR immediately when John stopped breathing. in the pool.,CPR
"Suddenly, He described burning sensation after scorpion sting.",Scorpion Sting
"A month after the bite, he showed symptoms of rabies.",Rabies
"During dinner, Emily started choking on food.",Choking
Emily grabbed their throat and couldn't breathe.,Choking
"Without warning, Rescuers found Emily submerged and not breathing.",Drowning
"In shallow water, he lost consciousness and needed help. at work.",Drowning
"Without warning, Emily was bitten by a stray dog and started showing signs of rabies.",Rabies
"During lunch, He described burning sensation after scorpion sting.",Scorpion Sting
the patient had foaming at the mouth and erratic behavior.,Rabies
"Early morning, The device malfunctioned and gave the victim an unexpected shock.",Electric Shock
"During lunch, Sharp pain spread from the sting site. at work.",Scorpion Sting
the patient lost consciousness and needed chest compressions and rescue breaths.,CPR
"In the evening, Call 101 and give CPR to he without hesitation.",CPR
"After the dog bite, John developed high fever and aggression.",Rabies
Call 101 and give CPR to they without hesitation.,CPR
"Suddenly, Someone applied abdominal thrusts when the patient couldn't cough.",Choking
X-ray confirmed a fracture in he's leg.,Fractures
"Suddenly, He was stung by a bee and the area swelled up.",Bee Sting
the victim fell and broke the arm.,Fractures
the patient burned their hand on a hot stove. at home.,Burns
He was bitten by a snake while hiking.,Snake Bite
"Early morning, He panicked as Emily gasped for air. on the street.",Choking
"During lunch, the patient received the rabies vaccine after the dog attack.",Rabies
